PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
231,11561,11706,mysqld,1,1,0,1,0,0,0
1521,11561,11573,mysqld,1,1,0,1,0,0,0
1922,11561,11571,mysqld,1,1,0,1,0,0,0
4093,11561,11711,mysqld,1,1,0,1,0,0,0
4656,11561,11572,mysqld,1,1,0,1,0,0,0
