PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
783,6335,6335,poc,539,667,128,9,1.712726182,0.646989374,1
783,6421,6421,poc,10,13,3,8,2.846439345,0.84,1
803,6335,6335,poc,541,669,128,9,1.756965293,0.654596643,1
803,6423,6423,poc,10,13,3,8,2.846439345,0.84,1
818,6335,6335,poc,582,656,74,7,1.642367547,0.650015942,1
819,6335,6335,poc,7,7,0,5,2.128085279,0.734693878,1
819,6425,6425,poc,10,13,3,8,2.846439345,0.84,1
837,6335,6335,poc,527,655,128,7,1.64421485,0.639357071,1
838,6427,6427,poc,10,13,3,8,2.846439345,0.84,1
838,6335,6335,poc,7,7,0,5,2.128085279,0.734693878,1
853,6335,6335,poc,540,668,128,9,1.72007985,0.648223594,1
853,6429,6429,poc,10,13,3,8,2.846439345,0.84,1
871,6335,6335,poc,390,390,0,3,1.057375988,0.507600263,1
872,6335,6335,poc,232,280,48,9,1.712067758,0.594976219,1
872,6431,6431,poc,10,13,3,8,2.846439345,0.84,1
887,6335,6335,poc,535,663,128,9,1.683594715,0.641942528,1
887,6433,6433,poc,5,6,1,4,1.921928095,0.72,1
888,6433,6433,poc,7,7,0,6,2.521640636,0.816326531,1
907,6335,6335,poc,344,344,0,2,1,0.5,1
908,6435,6435,poc,10,13,3,8,2.846439345,0.84,1
908,6335,6335,poc,244,317,73,9,1.600969101,0.585326525,1
924,6335,6335,poc,394,394,0,3,1.022960393,0.50249942,1
925,6335,6335,poc,218,275,57,9,1.534047621,0.549406616,1
925,6437,6437,poc,10,13,3,8,2.846439345,0.84,1
939,6335,6335,poc,536,664,128,9,1.7214821,0.648522778,1
940,6439,6439,poc,10,13,3,8,2.846439345,0.84,1
958,6441,6441,poc,10,13,3,8,2.846439345,0.84,1
958,6335,6335,poc,538,666,128,9,1.709782891,0.645789859,1
976,6335,6335,poc,320,320,0,2,1,0.5,1
977,6335,6335,poc,269,341,72,9,1.694916272,0.618067744,1
977,6443,6443,poc,10,13,3,8,2.846439345,0.84,1
995,6335,6335,poc,538,666,128,9,1.705081544,0.645741491,1
995,6445,6445,poc,10,13,3,8,2.846439345,0.84,1
1012,6335,6335,poc,533,661,128,9,1.696472303,0.644713452,1
1012,6447,6447,poc,10,13,3,8,2.846439345,0.84,1
1032,6335,6335,poc,538,666,128,9,1.709782891,0.645789859,1
1032,6449,6449,poc,10,13,3,8,2.846439345,0.84,1
1050,6335,6335,poc,533,661,128,9,1.696472303,0.644713452,1
1050,6451,6451,poc,10,13,3,8,2.846439345,0.84,1
1066,6335,6335,poc,537,665,128,9,1.697114301,0.644479816,1
1066,6453,6453,poc,10,13,3,8,2.846439345,0.84,1
1082,6455,6455,poc,10,13,3,8,2.846439345,0.84,1
1082,6335,6335,poc,534,662,128,9,1.705206119,0.645997279,1
1099,6335,6335,poc,535,663,128,9,1.683594715,0.641942528,1
1099,6457,6457,poc,10,13,3,8,2.846439345,0.84,1
1114,6459,6459,poc,10,13,3,8,2.846439345,0.84,1
1114,6335,6335,poc,534,662,128,9,1.705206119,0.645997279,1
1135,6335,6335,poc,537,665,128,9,1.6994445,0.645270469,1
1135,6461,6461,poc,10,13,3,8,2.846439345,0.84,1
1155,6335,6335,poc,548,655,107,7,1.65582837,0.646957749,1
1156,6335,6335,poc,5,5,0,4,1.921928095,0.72,1
1156,6463,6463,poc,10,13,3,8,2.846439345,0.84,1
1172,6335,6335,poc,565,565,0,5,1.396271149,0.574779544,1
1173,6335,6335,poc,93,99,6,6,0.52665258,0.135292317,1
1173,6465,6465,poc,10,13,3,8,2.846439345,0.84,1
1188,6335,6335,poc,532,660,128,9,1.687256653,0.643415399,1
1188,6467,6467,poc,5,6,1,4,1.921928095,0.72,1
1189,6467,6467,poc,7,7,0,6,2.521640636,0.816326531,1
1205,6335,6335,poc,535,663,128,9,1.683744692,0.642739104,1
1205,6469,6469,poc,10,13,3,8,2.846439345,0.84,1
1223,6335,6335,poc,342,342,0,2,1,0.5,1
1224,6335,6335,poc,250,320,70,9,1.647944764,0.596416,1
1224,6471,6471,poc,10,13,3,8,2.846439345,0.84,1
1240,6335,6335,poc,416,416,0,3,1.039065971,0.504726794,1
1241,6335,6335,poc,193,248,55,9,1.332923914,0.484629854,1
1241,6473,6473,poc,10,13,3,8,2.846439345,0.84,1
1259,6335,6335,poc,534,662,128,9,1.705206119,0.645997279,1
1259,6475,6475,poc,10,13,3,8,2.846439345,0.84,1
1276,6477,6477,poc,10,13,3,8,2.846439345,0.84,1
1276,6335,6335,poc,539,667,128,9,1.713969834,0.647746634,1
1295,6335,6335,poc,532,660,128,9,1.687256653,0.643415399,1
1295,6479,6479,poc,5,6,1,4,1.921928095,0.72,1
1296,6479,6479,poc,7,7,0,6,2.521640636,0.816326531,1
1311,6335,6335,poc,540,668,128,9,1.725328863,0.648285322,1
1312,6481,6481,poc,10,13,3,8,2.846439345,0.84,1
1328,6335,6335,poc,532,660,128,9,1.687256653,0.643415399,1
1328,6483,6483,poc,10,13,3,8,2.846439345,0.84,1
1345,6335,6335,poc,538,666,128,9,1.705081544,0.645741491,1
1345,6485,6485,poc,5,6,1,4,1.921928095,0.72,1
1346,6485,6485,poc,7,7,0,6,2.521640636,0.816326531,1
1362,6335,6335,poc,531,659,128,9,1.683040267,0.642968354,1
1362,6487,6487,poc,10,13,3,8,2.846439345,0.84,1
1376,6335,6335,poc,533,661,128,9,1.670144446,0.640179662,1
1377,6489,6489,poc,10,13,3,8,2.846439345,0.84,1
1391,6335,6335,poc,530,658,128,9,1.673774741,0.641658953,1
1391,6491,6491,poc,10,13,3,8,2.846439345,0.84,1
1409,6335,6335,poc,535,663,128,9,1.683744692,0.642739104,1
1409,6493,6493,poc,10,13,3,8,2.846439345,0.84,1
1423,6335,6335,poc,581,653,72,7,1.644926957,0.651260069,1
1424,6335,6335,poc,5,5,0,4,1.921928095,0.72,1
1424,6495,6495,poc,10,13,3,8,2.846439345,0.84,1
1438,6335,6335,poc,533,661,128,9,1.670144446,0.640179662,1
1438,6497,6497,poc,10,13,3,8,2.846439345,0.84,1
1452,6335,6335,poc,531,659,128,9,1.685197041,0.642989633,1
1452,6499,6499,poc,10,13,3,8,2.846439345,0.84,1
1465,6501,6501,poc,10,13,3,8,2.846439345,0.84,1
1465,6335,6335,poc,533,661,128,9,1.666579466,0.640151502,1
1478,6335,6335,poc,531,659,128,9,1.683040267,0.642968354,1
1478,6503,6503,poc,10,13,3,8,2.846439345,0.84,1
1495,6335,6335,poc,291,291,0,2,0.999991482,0.499994095,1
1496,6335,6335,poc,286,372,86,9,1.667824897,0.616949484,1
1496,6505,6505,poc,10,13,3,8,2.846439345,0.84,1
1513,6335,6335,poc,532,660,128,9,1.687256653,0.643415399,1
