PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
1015,10661,10661,redis-server,1,1,0,1,0,0,0
1636,10661,10661,redis-server,1,1,0,1,0,0,0
2016,10661,10661,redis-server,2,3,1,2,1,0.5,0
2017,10661,10661,redis-server,2,2,0,2,1,0.5,0
2040,10674,10674,redis-server,1,2,1,1,0,0,0
2110,10661,10661,redis-server,1,1,0,1,0,0,0
